fund_ticker,holding_company,holding_ticker,percentage
VDIGX,Nike Inc.,NKE,3.89
VDIGX,TJX Cos Inc.,TJX,2.54
VDIGX,Microsoft Corp.,MSFT,3.74
VDIGX,Costco Wholesale Corp.,COST,2.68
VDIGX,Coca-Cola Co.,KO,2.52
VDIGX,Diageo Plc.,DEO,2.62
VDIGX,American Tower Corp.,AMT,2.26
VDIGX,Chubb Ltd.,CB,2.97
VDIGX,Union Pacific Corp.,UNP,2.81
VDIGX,Accenture PLC Cl A,ACM,2.79
VDIGX,United Parcel Service Inc. Cl B,UPS,2.78
VDIGX,Canadian National Railway Co.,CNI,2.68
VDIGX,Colgate-Palmolive Co.,CL,2.57

VMGAX,Apple Inc.,AAPL,8.43
VMGAX,Amazon.com Inc.,AMZN,7.2
VMGAX,Facebook Inc. Cl A,FB,4.59
VMGAX,Alphabet Inc. Cl A,GOOGL,3.39
VMGAX,Alphabet Inc. Cl C,GOOG,3.38
VMGAX,Visa Inc. Cl A,V,2.54
VMGAX,Home Depot Inc.,HD,2.42
VMGAX,Boeing Co.,BA,2.19
VMGAX,Mastercard Inc.`,MA,1.86
VMGAX,AbbVie Inc.,ABBV,1.71

VRNIX,Apple Inc.,AAPL,3.34
VRNIX,Microsoft Corp.,MSFT,2.79
VRNIX,Amazon.com Inc.,AMZN,2.5
VRNIX,Facebook Inc. Cl A,FB,1.62
VRNIX,JPMorgan Chase & Co.,JPM,1.49
VRNIX,Berkshire Hathaway Inc. Class B,BRK.B,1.48
VRNIX,Johnson & Johnson,JNJ,1.36
VRNIX,Exxon Mobile Corp.,XOM,1.31
VRNIX,Alphabet Inc. Cl A,GOOGL,1.23
VRNIX,Alphabet Inc. Cl C,GOOG,1.2

VFAIX,JPMorgan Chase & Co.,JPM,9.44
VFAIX,Bank of America Corp.,BAC,7.42
VFAIX,Berkshire Hathaway Inc. Class B,BRK.B,6.16
VFAIX,Wells Farfo & Co.,WFC,6.09
VFAIX,Citigroup Inc.,C,4.51
VFAIX,Goldman Sachs Group Inc.,GS,2.14
VFAIX,U.S. Bancorp,USB,2.1
VFAIX,American Express Co.,AXP,1.82
VFAIX,Morgan Stanley,MS,1.75
VFAIX,PNC Financial Services Group Inc.,PNC,1.73

VFIAX,Apple Inc.,AAPL,3.7
VFIAX,Microsoft Corp.,MSFT,3.18
VFIAX,Amazon.com Inc.,AMZN,2.78
VFIAX,Facebook Inc. Cl A,FB,1.82
VFIAX,JPMorgan Chase & Co.,JPM,1.65
VFIAX,Berkshire Hathaway Inc. Class B,BRK.B,1.57
VFIAX,Johnson & Johnson,JNJ.B,1.5
VFIAX,Exxon Mobile Corp.,XOM,1.45
VFIAX,Alphabet Inc. Cl A,GOOGL,1.37
VFIAX,Alphabet Inc. Cl C,GOOG,1.34
